transaction_id,customer_id,customer_name,product_id,price,product_name,category,purchase_location,city,transaction_date,quantity,payment_method,discount,email,phone,payment_status
6,181,Maria Robinson,101,250000.0,laptop,Electronics,online,Delhi,2025-07-25 00:00:00,5,NetBanking,0.35,MariaRobinson@gmail.com,8794772717,successful
6,181,Maria Robinson,101,250000.0,laptop,Electronics,online,Delhi,2025-07-25 00:00:00,5,NetBanking,0.35,MariaRobinson@gmail.com,8794772717,failed
57,72,Michael Wood,105,45000.0,tv,ELEC,online,Chennai,12-31-2025,5,Cash,0.2,Michael77@gmail.com,8385570077,successful
57,72,Michael Wood,105,45000.0,tv,ELEC,online,Chennai,12-31-2025,5,Cash,0.2,Michael77@gmail.com,8385570077,failed
82,578,Kristi Wilson,101,250000.0,Laptop,Electronics,online,Chennai,2025-06-18 00:00:00,4,NetBanking,0.4,KristiWilson@yahoo.com,6043009323,successful
82,578,Kristi Wilson,101,250000.0,Laptop,Electronics,online,Chennai,2025-06-18 00:00:00,4,NetBanking,0.4,KristiWilson@yahoo.com,6043009323,failed
84,379,Andres Stokes,105,45000.0,tv,ELEC,offline,Mumbai,2025-11-07 00:00:00,5,UPI,0.2,AndresStokes@yahoo.com,8106400361,successful
84,379,Andres Stokes,105,45000.0,tv,ELEC,offline,Mumbai,2025-11-07 00:00:00,5,UPI,0.2,AndresStokes@yahoo.com,8106400361,failed
126,17,Duane Hall,101,250000.0,laptop,ELEC,online,Bangalore,02-25-2026,1,Card,0.15,DuaneHall@outlook.com,7467001149,successful
126,17,Duane Hall,101,250000.0,laptop,ELEC,online,Bangalore,02-25-2026,1,Card,0.15,DuaneHall@outlook.com,7467001149,failed
127,115,Linda Graham,101,250000.0,Laptop,ELEC,online,Chennai,2026-03-24 00:00:00,1,UPI,0.4,LindaGraham@gmail.com,8692481568,successful
127,115,Linda Graham,101,250000.0,Laptop,ELEC,online,Chennai,2026-03-24 00:00:00,1,UPI,0.4,LindaGraham@gmail.com,8692481568,failed
130,149,Ashley Mejia,103,1300.0,SHIRT,Clothing,online,Chennai,2025-11-23 00:00:00,1,Card,0.15,AshleyMejia@outlook.com,6877766443,successful
130,149,Ashley Mejia,103,1300.0,SHIRT,Clothing,online,Chennai,2025-11-23 00:00:00,1,Card,0.15,AshleyMejia@outlook.com,6877766443,failed
177,164,Shawn Stewart,107,50000.0,Dining table,FURN,online,Chennai,2025-09-04 00:00:00,4,Card,0.05,ShawnStewart@gmail.com,7161144854,successful
177,164,Shawn Stewart,107,50000.0,Dining table,FURN,online,Chennai,2025-09-04 00:00:00,4,Card,0.05,ShawnStewart@gmail.com,7161144854,failed
